	NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note	Huang_STEDT_English	English_by_concepticon	Huang_Chinese
42	Chen-2013-888-43	小孩		2099.0	CHILD					
43	Chen-2013-888-44	老头儿	old man	406.0	OLD MAN			old man	old man	老头儿
44	Chen-2013-888-45	老太太	old lady	907.0	OLD WOMAN			old lady	old lady	老太太
45	Chen-2013-888-46	姑娘	girl	1646.0	GIRL			girl	girl	姑娘
46	Chen-2013-888-47	瞎子		457.0	BLIND PERSON	2.0			blind person (one eye) (note:+both_eyes)	瞎子 ((双眼)~)
47	Chen-2013-888-48	跛子	lame person	2322.0	LAME PERSON	2.0		lame person	lame person	跛子
48	Chen-2013-888-49	聋子	deaf person	458.0	DEAF PERSON	2.0		deaf person	deaf person	聋子
49	Chen-2013-888-50	麻子					add POCKMARK			
50	Chen-2013-888-51	哑巴		1666.0	MUTE	2.0				
51	Chen-2013-888-52	孤儿	orphan	1149.0	ORPHAN			orphan	orphan	孤儿
52	Chen-2013-888-53	独子								
53	Chen-2013-888-54	客人	guest	1782.0	GUEST	2.0		guest	guest	客人
54	Chen-2013-888-55	朋友		1325.0	FRIEND	2.0			friend (male-to-male) (note:+male-male)	朋友 ((男朋友互称))
55	Chen-2013-888-56	木匠	carpenter	1042.0	CARPENTER	2.0		carpenter	carpenter	木匠
56	Chen-2013-888-57	贼	thief	1160.0	THIEF			thief	thief	贼
57	Chen-2013-888-58	名字	name	1405.0	NAME	2.0		name	name	名字
58	Chen-2013-888-59	年纪	age	1789.0	AGE			age	age	年纪
59	Chen-2013-888-60	影子	shadow	1388.0	SHADE	2.0		shadow	shadow	影子
60	Chen-2013-888-61	力气	strength (physical)	202.0	STRENGTH	2.0		strength (physical)	strength (physical)	力气
61	Chen-2013-888-62	鬼	ghost / spirit	1175.0	GHOST	2.0		ghost / spirit	ghost / spirit	鬼
62	Chen-2013-888-63	祖父		1383.0	GRANDFATHER	2.0			grandfather (address) (note:+address)	爷爷 ((对称))
63	Chen-2013-888-64	祖母		1496.0	GRANDMOTHER	2.0			grandmother (address) (note:?)	奶奶 (亲~)
64	Chen-2013-888-65	父亲		1217.0	FATHER	2.0			father (reference) (note:+citation)	父亲 ((引称))
65	Chen-2013-888-66	母亲		1216.0	MOTHER	2.0			mother (reference) (note:+citation)	母亲 ((引称))
66	Chen-2013-888-67	儿子		1620.0	SON	2.0			son (intimate) (note:+citation)	儿子 ((一般称谓))
67	Chen-2013-888-68	儿媳		1057.0	DAUGHTER-IN-LAW	2.0			daughter-in-law (address) (note:+citation)	媳妇(儿~) ((引称))
68	Chen-2013-888-69	女儿	daughter	1357.0	DAUGHTER	2.0		daughter	daughter	女儿
69	Chen-2013-888-70	女婿		1056.0	SON-IN-LAW	2.0			son-in-law (doesn't come calling) (note:+married_in)	女婿 ((上门)~)
70	Chen-2013-888-71	孙子	grandson	1618.0	GRANDSON	2.0		grandson	grandson	孙子
71	Chen-2013-888-72	哥哥	elder brother	1759.0	OLDER BROTHER	2.0		elder brother (reference by y. sister)||elder brother (reference)||elder brother (addressed by y. brother)||elder brother (addressed by y. sister)||elder brother (address)||elder brother||elder brother (reference by y. brother)	elder brother	哥哥
72	Chen-2013-888-73	姐姐		1758.0	OLDER SISTER	2.0				
73	Chen-2013-888-74	弟弟	younger brother (address)	1760.0	YOUNGER BROTHER	2.0		younger brother (address by o. sister)||younger brother (address by o. brother)||younger brother (reference)||younger brother (addressby o. sister)||younger brother (address)||younger brother	younger brother (address)	弟弟
74	Chen-2013-888-75	妹妹		1761.0	YOUNGER SISTER	2.0				
75	Chen-2013-888-76	嫂子	sister-in-law	2695.0	SISTER-IN-LAW (OLDER BROTHER'S WIFE)	2.0				
76	Chen-2013-888-77	舅父	uncle (mother’s borther)	2692.0	MATERNAL UNCLE (MOTHER'S BROTHER)	2.0			uncle (mother’s borther)	舅父
77	Chen-2013-888-78	舅母	aunt (mother’s brother’s wife)	2172.0	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	2.0			"aunt (mother's sister}} (= wife of mom's bro) (note:""mother's_brother's_wife"")"	"姨母 (同""舅母"")"
78	Chen-2013-888-79	丈夫		1200.0	HUSBAND	2.0			husband (address) (note:+citation)	丈夫 ((引称))
79	Chen-2013-888-80	妻子		1199.0	WIFE	2.0			wife (address) (note:+citation)	妻子 ((引称))
80	Chen-2013-888-81	身体		1480.0	BODY	2.0			body (front) (note:+front)	身体 (前身)
81	Chen-2013-888-82	头	head	1256.0	HEAD	2.0		head	head	头
82	Chen-2013-888-83	头发	hair	2648.0	HAIR (HEAD)	2.0		hair		
83	Chen-2013-888-84	辫子		333.0	PLAIT	2.0			plait	编(~辫子)
84	Chen-2013-888-85	眉毛	eyebrow	1173.0	EYEBROW	2.0		eyebrow	eyebrow	眉毛
85	Chen-2013-888-86	眼睛	eye	1248.0	EYE	2.0		eye	eye	眼睛
86	Chen-2013-888-87	鼻子	nose	1221.0	NOSE	2.0		nose	nose	鼻子
87	Chen-2013-888-88	耳朵	ear	1247.0	EAR	2.0		ear	ear	耳朵
88	Chen-2013-888-89	脸		1560.0	FACE	2.0			face (self-respect)	脸 (一画)
89	Chen-2013-888-90	嘴，口		674.0	MOUTH				mouth (opening) (note:mouth  |  opening)	嘴 (口)
90	Chen-2013-888-91	胡须		678.0	BEARD				beard	连鬓胡
91	Chen-2013-888-92	下巴	chin	1510.0	CHIN	2.0		chin	chin	下巴
92	Chen-2013-888-93	脖子		1333.0	NECK	2.0			neck (back of, hindneck, nape) (note:+front)	脖子 (颈部)
93	Chen-2013-888-94	肩膀	shoulder	1482.0	SHOULDER	2.0		shoulder	shoulder	扛
94	Chen-2013-888-95	背	back	1291.0	BACK	2.0		back	back	背
95	Chen-2013-888-96	胸脯		1592.0	CHEST	2.0			chest / box / trunk	箱子
96	Chen-2013-888-97	肚子		1251.0	BELLY	2.0			belly	肚子(腹部)
97	Chen-2013-888-98	肚脐	navel	1838.0	NAVEL	2.0		navel	navel	肚脐
98	Chen-2013-888-99	腰	waist	1681.0	WAIST	2.0		waist	waist	腰
99	Chen-2013-888-100	屁股	buttocks	834.0	BUTTOCKS	2.0		buttocks	buttocks	屁股
100	Chen-2013-888-101	肛门	anus	1935.0	ANUS			anus	anus	肛门
101	Chen-2013-888-102	腿		1297.0	LEG	2.0				
102	Chen-2013-888-103	脚	foot	1301.0	FOOT	2.0		foot	mix (powder) with water (stomp w / feet)	和(~泥) ((用脚)踩)
103	Chen-2013-888-104	手	hand	1277.0	HAND	2.0		hand	hand	手
104	Chen-2013-888-105	手指	finger	1303.0	FINGER	2.0		finger	finger	手指
105	Chen-2013-888-106	指甲	nail	1258.0	FINGERNAIL	2.0		nail		
106	Chen-2013-888-107	拳		1473.0	FIST				fist (solid) (note:-hollow)	拳 ((实心的)~)
107	Chen-2013-888-108	皮肤	skin	763.0	SKIN	2.0		skin	skin	皮肤
108	Chen-2013-888-109	筋	tendon / sinew	1137.0	TENDON	2.0		tendon / sinew	tendon / sinew	筋
109	Chen-2013-888-110	脑髓	brains	1583.0	BRAIN			brains	brains	脑髓
110	Chen-2013-888-111	骨头	bone	1394.0	BONE	2.0		bone	bone	骨头
111	Chen-2013-888-112	牙齿	tooth	1380.0	TOOTH	2.0		tooth	tooth	牙齿
112	Chen-2013-888-113	舌		1205.0	TONGUE	2.0			tongue	舌头
113	Chen-2013-888-114	喉咙	throat	1346.0	THROAT	2.0		throat	throat	喉咙
114	Chen-2013-888-115	肺	lung	688.0	LUNG	2.0		lung	lung	肺
115	Chen-2013-888-116	心脏	heart	1223.0	HEART	2.0		heart	heart	心脏
116	Chen-2013-888-117	肝	liver	1224.0	LIVER	2.0		liver	liver	肝
117	Chen-2013-888-118	胃		819.0	STOMACH	2.0			stomach (cow, goat) (note:+livestock {lit. cow, sheep})	胃 ((牛,羊)~)
118	Chen-2013-888-119	胆	gall bladder				add Gallbladder	gall bladder		
119	Chen-2013-888-120	血	blood	946.0	BLOOD	2.0		blood	blood	血
120	Chen-2013-888-121	奶汁	milk	635.0	MILK			milk||milk (cow's)	milk	奶汁
121	Chen-2013-888-122	屎	excrement	675.0	FAECES (EXCREMENT)	2.0		excrement	excrement	屎
122	Chen-2013-888-123	肠子	intestine	1991.0	INTESTINES	2.0		intestine	intestine	肠子
123	Chen-2013-888-124	尿	urine	1142.0	URINE	2.0		urine	urine	尿
124	Chen-2013-888-125	汗	sweat	2458.0	PERSPIRE OR SWEAT	2.0		sweat		
125	Chen-2013-888-126	口水	saliva	1503.0	SALIVA	2.0		saliva	saliva	口水
126	Chen-2013-888-127	鼻涕	mucus (nasal)	208.0	NASAL MUCUS (SNOT)	2.0		mucus (nasal)	mucus (nasal)	鼻涕
127	Chen-2013-888-128	眼泪	tears	1651.0	TEAR (OF EYE)	2.0		tears	tears	眼泪
128	Chen-2013-888-129	脓	pus	1808.0	PUS	2.0		pus	pus	脓
129	Chen-2013-888-130	牛	cattle	1007.0	COW	2.0		cattle	cow	母牛
130	Chen-2013-888-131	水牛	buffalo	2516.0	WATER BUFFALO	2.0		buffalo		
131	Chen-2013-888-132	黄牛		1153.0	CATTLE	2.0			cattle	牛
132	Chen-2013-888-133	母牛	cow	1007.0	COW	2.0		cow	cow	母牛
133	Chen-2013-888-134	公牛	bull	1008.0	BULL	2.0		bull	bull	公牛
134	Chen-2013-888-135	牛犊								
135	Chen-2013-888-136	（牛）角		1393.0	HORN (ANATOMY)	4.0			horn	犄角
136	Chen-2013-888-137	蹄		152.0	HOOF	2.0			hoof (odd number) (note:+odd_toed)	蹄 (奇数~)
137	Chen-2013-888-138	皮		763.0	SKIN	2.0			skin	皮肤
138	Chen-2013-888-139	毛		580.0	FUR	2.0				
139	Chen-2013-888-140	尾巴	tail	1220.0	TAIL	2.0		bee||tail	tail	尾巴
140	Chen-2013-888-141	马		615.0	HORSE	2.0		horse	classifier for age of animals (cows) (note:+horse)	岁口(一~牛、马) ((马的)~)
141	Chen-2013-888-142	羊	sheep (general)	2684.0	CAPRINE (GOAT OR SHEEP)	2.0		sheep (general)		
142	Chen-2013-888-143	猪	pig	1337.0	PIG	2.0		pig	pig	猪
143	Chen-2013-888-144	狗	dog	2009.0	DOG	2.0		dog	hound	猎狗
144	Chen-2013-888-145	猫	cat	1208.0	CAT	2.0		cat	cat	猫
145	Chen-2013-888-146	兔子	rabbit	2345.0	LEPORID (RABBIT OR HARE)	2.0		rabbit		
146	Chen-2013-888-147	鸡	chicken	1318.0	CHICKEN	2.0		chicken	chicken	鸡
147	Chen-2013-888-148	公鸡	cock	1511.0	ROOSTER	2.0		cock	cock	公鸡
148	Chen-2013-888-149	母鸡	hen	1514.0	HEN	2.0		hen	hen	母鸡
149	Chen-2013-888-150	鸡冠	cockscomb				add cockscomb	cockscomb		
150	Chen-2013-888-151	爪子	claw / talon	72.0	CLAW	2.0		claw / talon||claw / talon (chicken's rear claws)	claw / talon	爪子
151	Chen-2013-888-152	翅膀	wing	1257.0	WING	2.0		wing	wing	翅膀
152	Chen-2013-888-153	鸭子		1360.0	DUCK	2.0			duck (domestic) (note:+domestic)	鸭子 (家鸭)
153	Chen-2013-888-154	鹅	goose	1187.0	GOOSE	2.0		goose	goose (wild)	大雁
154	Chen-2013-888-155	鸽子	dove	1853.0	DOVE	2.0		dove	turtledove	斑鸠
155	Chen-2013-888-156	老虎	tiger	846.0	TIGER	2.0		tiger	tiger	老虎
156	Chen-2013-888-157	猴子	monkey	1350.0	MONKEY	2.0		monkey	monkey	猴子
157	Chen-2013-888-158	熊	bear	1820.0	BEAR	2.0		bear	bear	熊
158	Chen-2013-888-159	野猪	boar (wild)	1348.0	BOAR	2.0		boar (wild)	boar (wild)	野猪
159	Chen-2013-888-160	穿山甲		2508.0	PANGOLIN					
160	Chen-2013-888-161	老鼠	mouse	2139.0	MUROID (MOUSE OR RAT)	2.0		mouse		
161	Chen-2013-888-162	黄鼠狼	weasel (yellow)					weasel (yellow)		
162	Chen-2013-888-163	狐狸	fox	1312.0	FOX	2.0		fox	fox	狐狸
163	Chen-2013-888-164	鸟	bird	937.0	BIRD	2.0		bird	bird	鸟
164	Chen-2013-888-165	鸟窝	nest (bird)	539.0	NEST			nest (bird)	nest (bird)	鸟窝
165	Chen-2013-888-166	老鹰	kite (black-eared) / hawk	1905.0	EAGLE	2.0		kite (black-eared) / hawk	eagle / vulture	雕
166	Chen-2013-888-167	猫头鹰	owl	735.0	OWL			owl	owl	猫头鹰
167	Chen-2013-888-168	燕子	swallow	3077.0	SWALLOW (BIRD)	2.0		swallow	swallow	燕子
168	Chen-2013-888-169	麻雀	sparrow	1854.0	SPARROW	2.0		sparrow	sparrow	麻雀
169	Chen-2013-888-170	乌鸦	crow	913.0	CROW	2.0		crow||pheasant	crow	乌鸦
170	Chen-2013-888-171	野鸡	pheasant	3060.0	PHEASANT			pheasant (short-tailed)||pheasant||pheasant (long-tailed)	pheasant	野鸡
171	Chen-2013-888-172	斑鸠	turtledove	1853.0	DOVE	2.0		turtledove	turtledove	斑鸠
172	Chen-2013-888-173	啄木鸟	woodpecker	2447.0	WOODPECKER			woodpecker	woodpecker	啄木鸟
173	Chen-2013-888-174	蛇	snake	730.0	SNAKE	2.0		snake	snake	蛇
174	Chen-2013-888-175	青蛙	frog	503.0	FROG	2.0		frog	frog	青蛙
175	Chen-2013-888-176	鱼	fish	227.0	FISH	2.0		fish	fish	鱼
176	Chen-2013-888-177	鳞	scale	266.0	SCALE			scale	scale	鳞
177	Chen-2013-888-178	黄鳝								
178	Chen-2013-888-179	泥鳅								
179	Chen-2013-888-180	虾		2349.0	SHRIMP					
180	Chen-2013-888-181	螃蟹		2348.0	CRAB	2.0				
181	Chen-2013-888-182	螺蛳					add water snail			
182	Chen-2013-888-183	蚂蟥	leech	2273.0	LEECH			leech||leech (water)||leech (mountain, arid area)	leech	蚂蟥
183	Chen-2013-888-184	虫		1027.0	BUG	2.0				
184	Chen-2013-888-185	臭虫	bedbug	1949.0	BEDBUG	2.0		bedbug	bedbug	臭虫
185	Chen-2013-888-186	虱子		1392.0	LOUSE	2.0			louse	虱
186	Chen-2013-888-187	苍蝇	fly	1504.0	FLY (INSECT)	2.0		fly	fly	苍蝇
187	Chen-2013-888-188	蛆		2640.0	LARVA	2.0				
188	Chen-2013-888-189	蚊子		1509.0	MOSQUITO	2.0			mosquito (relatively small) (note:+larger)	蚊子 ((较大的)~)
189	Chen-2013-888-190	蜘蛛	spider	843.0	SPIDER	2.0		spider	spider	蜘蛛
190	Chen-2013-888-191	蚯蚓	earthworm	2350.0	EARTHWORM	2.0		earthworm	earthworm	蚯蚓
191	Chen-2013-888-192	蛔虫					add roundworms			
192	Chen-2013-888-193	蚂蚁	ant	587.0	ANT	2.0		ant	ant	蚂蚁
193	Chen-2013-888-194	蜜蜂	bee	665.0	BEE	2.0		bee	bee	蜜蜂
194	Chen-2013-888-195	马蜂		1517.0	WASP					
195	Chen-2013-888-196	马蜂窝								
196	Chen-2013-888-197	螳螂					add mantis			
197	Chen-2013-888-198	蜻蜓	dragonfly	2352.0	DRAGONFLY	2.0		dragonfly	dragonfly	蜻蜓
198	Chen-2013-888-199	蝴蝶	butterfly	1791.0	BUTTERFLY	2.0		butterfly	butterfly	蝴蝶
199	Chen-2013-888-200	树	tree	906.0	TREE	2.0		tree	tree	树
200	Chen-2013-888-201	树干	trunk	344.0	TREE TRUNK			tree||trunk	trunk	树干
201	Chen-2013-888-202	樹枝		1531.0	BRANCH				branch / twig	树枝
202	Chen-2013-888-203	树梢								
203	Chen-2013-888-204	树根		670.0	ROOT				root	根
204	Chen-2013-888-205	叶子	leaf	628.0	LEAF	2.0		leaf	leaf	叶子
205	Chen-2013-888-206	花	flower	239.0	FLOWER	2.0		flower	flower	花
206	Chen-2013-888-207	果子		1507.0	FRUIT				"fruit (lit. 'pear peach apricot') (note:""plum-peach-apricot"")"	"水果 (""梨桃杏"")"
207	Chen-2013-888-208	芽		1684.0	BUD	2.0			bud	蓓蕾
208	Chen-2013-888-209	杉树		1915.0	FIR	2.0			fir (China) (mid-elevation 'hanging' fir)	
209	Chen-2013-888-210	松树		1740.0	PINE	2.0			pine (said by youth) (note:+elderly{speech})	松树 ((老人语))
210	Chen-2013-888-211	桃		2043.0	PEACH				peach	桃子
211	Chen-2013-888-212	李子								
212	Chen-2013-888-213	梨		922.0	PEAR	2.0			pear (flat: Ch. 'bian3 li2') (note:+small +yellow)	梨 ((小黄)~)
213	Chen-2013-888-214	橘子		2627.0	ORANGE (FRUIT)					
214	Chen-2013-888-215	柿子	persimmon	2044.0	PERSIMMON	2.0		persimmon (big)||persimmon||persimmon (small)||persimmon (dried)||persimmon (fresh)	persimmon	柿子
215	Chen-2013-888-216	葡萄	grape	920.0	GRAPE	2.0		grape	grape	葡萄
216	Chen-2013-888-217	竹子		1927.0	BAMBOO	2.0			bamboo (thick, coarse) (note:+thick)	竹子 (粗~)
217	Chen-2013-888-218	藤子		2497.0	RATTAN				cane / vine (tendrilled) (note:+bamboo)	藤子 (藤竹)
218	Chen-2013-888-219	苎麻		3063.0	RAMIE	2.0				
219	Chen-2013-888-220	刺		124.0	THORN	2.0			thorn / splinter	刺儿
220	Chen-2013-888-221	水稻	rice (paddy)	429.0	SWIDDEN FIELD	2.0		rice (paddy)	paddy field	水田
221	Chen-2013-888-222	种子	seed	714.0	SEED	2.0		seed	seed	种子
222	Chen-2013-888-223	秧	seedling (rice)	3050.0	SEEDLING			seedling (rice)	seedling (rice)	秧
223	Chen-2013-888-224	包谷								
224	Chen-2013-888-225	高粱		347.0	SORGHUM	2.0				
225	Chen-2013-888-226	粟		605.0	GRAIN				foodstuff / grain	粮食
226	Chen-2013-888-227	菜		924.0	VEGETABLES	2.0			vegetable	蔬菜
227	Chen-2013-888-228	白菜		774.0	CABBAGE	2.0				
228	Chen-2013-888-229	油菜								
229	Chen-2013-888-230	韭菜								
230	Chen-2013-888-231	萝卜	radish	3062.0	TURNIP	2.0		radish		
231	Chen-2013-888-232	芋头		351.0	TARO	2.0				
232	Chen-2013-888-233	茄子		1146.0	AUBERGINE	2.0				
233	Chen-2013-888-234	辣椒	pepper (hot) / chili	919.0	CHILI PEPPER	2.0		pepper (hot) / chili	pepper (hot) / chili	辣椒
234	Chen-2013-888-235	葱	onion / scallion	2366.0	ONION	2.0		onion / scallion	onion / scallion	葱
235	Chen-2013-888-236	蒜	garlic	2368.0	GARLIC	2.0		garlic	garlic	蒜
236	Chen-2013-888-237	姜	ginger	2500.0	GINGER			ginger	ginger	姜
237	Chen-2013-888-238	红薯		159.0	SWEET POTATO					
238	Chen-2013-888-239	笋		2494.0	BAMBOO SHOOT					
239	Chen-2013-888-240	瓜	melon / gourd	507.0	MELON	2.0		melon / gourd		
240	Chen-2013-888-241	瓜藤		343.0	VINE					
241	Chen-2013-888-242	瓜子								
242	Chen-2013-888-243	南瓜	pumpkin	864.0	PUMPKIN	2.0		pumpkin	pumpkin	南瓜
243	Chen-2013-888-244	西瓜		2766.0	WATERMELON	2.0				
244	Chen-2013-888-245	黄瓜	cucumber	496.0	CUCUMBER	2.0		cucumber	cucumber	黄瓜
245	Chen-2013-888-246	葫芦		411.0	GOURD				melon / gourd	瓜
246	Chen-2013-888-247	冬瓜		411.0	GOURD	2.0			melon / gourd	瓜
247	Chen-2013-888-248	豆	pea / bean	832.0	BEAN	2.0		pea / bean		
248	Chen-2013-888-249	黄豆	soya bean	2027.0	SOYA	2.0		soya bean		
249	Chen-2013-888-250	豇豆								
250	Chen-2013-888-251	花生	peanut	2364.0	PEANUT	2.0		peanut	peanut	花生
251	Chen-2013-888-252	芝麻	sesame	2797.0	SESAME			sesame	sesame	芝麻
252	Chen-2013-888-253	草		606.0	GRASS	2.0			grass (not eaten by draught animals) (note:+small)	草 (小~)
253	Chen-2013-888-254	茅草		279.0	THATCH					
254	Chen-2013-888-255	蓝靛苗								
255	Chen-2013-888-256	蕨菜					add Bracken			
256	Chen-2013-888-257	蘑菇	mushroom	641.0	MUSHROOM	2.0		mushroom||mushroom (white)||mushroom (yellow)	"fungus (edible) (lit. 'mouse's ear') (note:""old-person ear"")"	"木耳 (""老人耳朵"")"
257	Chen-2013-888-258	木耳					a kind of fungus. for eating			
258	Chen-2013-888-259	米	rice	926.0	RICE	2.0		rice	rice (unhusked)	谷粒
259	Chen-2013-888-260	糯米	rice (glutinous)	2750.0	GLUTINOUS RICE	2.0		rice (glutinous)		
260	Chen-2013-888-261	饭		1191.0	COOKED RICE	2.0			cooked, be (rice) / done	熟(饭~)
261	Chen-2013-888-262	粥		2049.0	CONGEE	2.0				
262	Chen-2013-888-263	粑粑					add Baba			
263	Chen-2013-888-264	面粉	flour	1594.0	FLOUR	2.0		flour	flour	面粉
264	Chen-2013-888-265	肉	meat	2615.0	FLESH OR MEAT	2.0		meat		
265	Chen-2013-888-266	牛肉		2570.0	BEEF					
266	Chen-2013-888-267	羊肉					add lamb meat			
267	Chen-2013-888-268	猪肉		2769.0	PORK					
268	Chen-2013-888-269	肥肉		2449.0	FAT (OF MEAT AND FOOD)	2.0				
269	Chen-2013-888-270	瘦肉	meat (lean)	2219.0	LEAN (MEAT)			meat (lean)		
270	Chen-2013-888-271	猪油		2557.0	PIG FAT	2.0				
271	Chen-2013-888-272	菜油		2555.0	OIL (FROM PLANTS)				oil (vegetable)	清油
272	Chen-2013-888-273	盐	salt	1274.0	SALT	2.0		salt	salt	盐
273	Chen-2013-888-274	糖	sugar	862.0	SUGAR	2.0		sugar (honey)||sugar (brown)||sugar	sugar	糖
274	Chen-2013-888-275	白糖					add white sugar			
275	Chen-2013-888-276	红糖				2.0	add brown sugar			
276	Chen-2013-888-277	蛋		744.0	EGG	2.0			egg	蛋(鸡~)
277	Chen-2013-888-278	蛋白								
278	Chen-2013-888-279	蛋黄		1556.0	YOLK					
279	Chen-2013-888-280	壳儿		598.0	SHELL					
280	Chen-2013-888-281	豆腐								
281	Chen-2013-888-282	汤		1547.0	SOUP	2.0			soup (vegetable) (note:+vegetable)	汤 (菜~)
282	Chen-2013-888-283	酒		404.0	ALCOHOL (FERMENTED DRINK)	2.0				
283	Chen-2013-888-284	茶	tea	1373.0	TEA	2.0		tea	tea	茶
284	Chen-2013-888-285	茶叶					add tea leaf			
285	Chen-2013-888-286	甜酒		842.0	LIQUOR					
286	Chen-2013-888-287	开水	water (boiled)					water (boiled)		
287	Chen-2013-888-288	药	medicine	1372.0	MEDICINE	2.0		medicine	medicine	药
288	Chen-2013-888-289	糠	chaff / bran	2363.0	CHAFF (HUSK)	2.0		chaff / bran||chaff / bran (wheat)||chaff / bran (highland barley)		
289	Chen-2013-888-290	棉花	cotton	1850.0	COTTON	2.0		cotton	cotton	棉花
290	Chen-2013-888-291	纱					add muslin			
291	Chen-2013-888-292	布	cloth	1616.0	CLOTH	2.0		cloth	cloth (Tibetan, woollen)	氆氇
292	Chen-2013-888-293	衣		1895.0	CLOTHES				clothing / garment	衣服
293	Chen-2013-888-294	棉衣								
294	Chen-2013-888-295	衣领	collar	2012.0	COLLAR			collar	collar	衣领
295	Chen-2013-888-296	袖子		2953.0	SLEEVE	2.0			sleeve	衣袖
296	Chen-2013-888-297	扣子	button	757.0	BUTTON			pants / trousers||button	button	扣子
297	Chen-2013-888-298	衣袋		1851.0	POCKET					
298	Chen-2013-888-299	裤子		809.0	TROUSERS	2.0			pants / trousers (female's) (note:+male)	裤子 (男裤)
299	Chen-2013-888-300	裙子		1600.0	SKIRT	2.0				
300	Chen-2013-888-301	头巾		3066.0	SCARF OR TURBAN	2.0				
301	Chen-2013-888-302	帽子		771.0	HAT	2.0			hat (men's) (note:+male)	帽子 (男帽)
302	Chen-2013-888-303	裹腿布								
303	Chen-2013-888-304	鞋	shoe	1381.0	SHOE	2.0		shoe	shoe	鞋
